timestamp,cpuUsage,cpuTemperature,cpuCoreMaxTemperature,cpuPackagePower,cpuAverageClock,gpuUsage,gpuTemperature,gpuMemoryLoad,ramUsage,networkConnections,processCount
2026-07-01 11:31:50.743397500,35.8,69,65,19.7,2072.7,0,58.8,0,93.55,209,338
2026-07-01 11:31:53.657314800,28.1,67,63,20.3,1902.6,0,58.5,0,94.24,218,340
2026-07-01 11:31:55.742260900,20.8,68,66,18.7,1877.4,0,58.8,0,94.45,219,338
2026-07-01 11:31:57.797805400,30.5,71,68,34.4,1976.63,0,58.8,0,94.31,218,338
2026-07-01 11:31:59.856292700,32.1,69,63,22.0,1925.28,0,59.0,0,94.95,225,340
2026-07-01 11:32:01.921122100,20.3,68,63,19.8,1912.05,0,58.9,0,94.96,225,340
2026-07-01 11:32:04.012519600,24.7,68,63,18.6,1906.2,0,58.9,0,95.43,223,340
2026-07-01 11:32:06.182595200,24.8,68,63,19.3,1868.74,0,58.5,0,95.2,223,340
2026-07-01 11:32:08.388675400,24.6,68,64,19.7,1901.2,0,58.5,0,94.59,226,340
2026-07-01 11:32:10.588942500,22.3,71,63,18.4,1905.75,0,58.8,0,94.19,225,340
2026-07-01 11:32:12.788245700,30.8,68,63,20.1,1928.95,0,58.8,0,94.54,225,339
2026-07-01 11:32:14.970112600,26.3,69,63,18.8,1919.4,0,58.8,0,94.31,221,339
2026-07-01 11:32:17.148748700,38.4,68,64,17.2,1885.64,0,58.4,0,94.86,217,339
2026-07-01 11:32:19.428712100,29.6,67,61,20.3,1854.0,0,58.7,0,95.18,243,339
2026-07-01 11:32:21.635229700,29.2,64,61,20.0,1847.16,0,58.8,0,94.58,225,339
2026-07-01 11:32:23.783807800,22.2,69,61,19.4,1859.68,0,59.0,0,94.41,221,339
2026-07-01 11:32:25.838285200,39.5,77,77,34.0,1892.22,0,58.9,0,94.32,224,339
2026-07-01 11:32:27.897363500,19.6,68,61,19.7,1892.45,0,58.8,0,94.59,219,339
2026-07-01 11:32:29.957705000,30.2,71,65,23.6,1903.59,0,58.5,0,94.86,219,339
2026-07-01 11:32:32.000081500,30.4,68,63,19.0,1904.8,0,58.9,0,94.61,218,339
2026-07-01 11:32:34.050543700,26.8,69,64,21.7,1930.2,0,58.9,0,95.03,218,339
2026-07-01 11:32:36.110930700,28.8,65,60,16.2,1910.05,0,58.4,0,94.82,216,339
2026-07-01 11:32:38.268475600,23.0,69,62,21.7,1907.53,0,58.8,0,94.69,215,339
2026-07-01 11:32:40.446750000,28.6,65,61,20.1,1902.6,0,58.9,0,94.8,214,339
2026-07-01 11:32:42.596827900,30.8,66,61,20.8,1896.3,0,58.8,0,94.88,214,339
2026-07-01 11:32:44.767888000,26.2,65,58,13.4,1873.52,0,58.8,0,94.75,215,339
2026-07-01 11:32:46.925603500,27.6,68,64,17.9,1869.7,0,58.7,0,94.94,215,339
2026-07-01 11:32:49.097561900,25.0,68,62,17.4,1855.13,0,58.4,0,94.9,214,339
2026-07-01 11:32:51.243070300,27.2,68,61,17.8,1849.16,0,58.8,0,95.13,212,339
