timestamp,cpuUsage,cpuTemperature,ramUsage,networkConnections,processCount,cpuPackagePower,cpuAverageClock
2026-07-01 02:30:53.975169600,27.4,82.9,71.33,236,269,31.3,3169
2026-07-01 02:30:57.909829600,8.3,71.3,71.7,237,269,15.3,3860
2026-07-01 02:31:00.960654700,15.5,75.0,71.64,239,270,21.4,4261
2026-07-01 02:31:03.999124400,43.9,85.6,71.67,236,270,41.5,3829
2026-07-01 02:31:07.045752800,49.6,91.9,72.76,238,270,42.9,3677
2026-07-01 02:31:10.105429300,64.7,94.1,73.21,237,270,47.3,3787
2026-07-01 02:31:13.168757400,31.4,92.3,74.09,236,270,35.4,3849
2026-07-01 02:31:16.204517200,88.0,94.6,74.39,236,270,45.6,3868
2026-07-01 02:31:19.275971300,64.5,94.9,75.28,236,270,44.1,3650
2026-07-01 02:31:22.316443200,28.2,95.1,75.06,236,270,34.6,3918
2026-07-01 02:31:25.357632800,26.7,92.3,75.1,236,270,32.4,3794
2026-07-01 02:31:28.393118600,16.2,85.6,75.25,236,270,22.0,4159
2026-07-01 02:31:31.426300500,18.6,84.5,75.24,233,270,23.9,4146
2026-07-01 02:31:34.457899500,30.0,85.1,75.27,235,271,36.7,4183
2026-07-01 02:31:37.521515700,42.3,88.9,76.67,240,278,34.1,3603
2026-07-01 02:31:40.579383900,12.8,82.9,74.54,245,278,21.0,3799
2026-07-01 02:31:43.637441500,15.9,83.4,74.52,245,278,22.3,3090
2026-07-01 02:31:46.688799100,16.3,83.6,74.46,242,278,21.9,3556
2026-07-01 02:31:49.730603100,20.9,87.1,74.64,242,279,24.5,4292
2026-07-01 02:31:52.781778200,15.3,81.4,74.76,242,279,20.1,3608
2026-07-01 02:31:55.842017600,22.4,81.8,74.79,242,279,26.0,3916
2026-07-01 02:31:58.894852700,22.5,82.5,74.78,242,279,23.3,4072
2026-07-01 02:32:01.950152300,25.3,81.8,74.74,242,279,24.1,3904
2026-07-01 02:32:04.999584500,24.4,83.4,75.05,240,279,24.6,3609
2026-07-01 02:32:08.048414100,24.3,83.0,75.02,239,278,26.4,3352
2026-07-01 02:32:11.096242200,34.6,85.1,74.97,237,278,30.9,3238
2026-07-01 02:32:14.180441800,35.9,90.3,75.17,231,279,34.0,4236
2026-07-01 02:32:17.212612200,26.2,88.4,75.06,231,278,27.5,3936
2026-07-01 02:32:20.243563000,25.3,87.3,74.9,229,277,26.4,4345
2026-07-01 02:32:23.276814500,28.4,87.8,74.86,227,277,30.6,4127
2026-07-01 02:32:26.303833600,37.5,89.4,74.86,228,277,32.2,3200
