timestamp,cpuUsage,cpuTemperature,cpuPackagePower,cpuAverageClock,gpuUsage,gpuTemperature,gpuMemoryLoad,ramUsage,networkConnections,processCount,ssdTemperature,ssdReadSpeed,ssdWriteSpeed,networkUtilization,targetLoad
2026-07-01T22:22:57.444888900,30.7,73.0,31.5,2942.64,2.4,60.9,25.2,88.72,247,364,74.0,310170.1,876192.4,0.1,0.0
2026-07-01T22:22:59.016083200,14.0,72.0,18.8,3163.58,0.6,60.9,25.2,89.23,251,364,74.0,0.0,92601.3,0.0,0.0
2026-07-01T22:23:00.054186800,10.8,70.0,14.0,3595.41,3.0,61.2,25.2,89.28,251,364,74.0,0.0,40438.5,0.0,0.0
2026-07-01T22:23:01.078320200,28.6,92.0,10.6,3053.13,7.8,60.8,25.2,89.18,251,364,74.0,133546.4,172497.4,0.0,0.0
2026-07-01T22:23:02.107001,48.6,76.0,24.5,2992.86,10.7,60.9,24.8,74.04,258,348,74.0,174360608.0,4761228.5,0.3,0.0
2026-07-01T22:23:03.132087900,15.0,74.0,25.9,3143.52,11.2,60.8,18.7,65.68,220,331,74.0,27715278.0,1459803.1,0.0,0.0
2026-07-01T22:23:04.147105200,12.7,77.0,13.0,3344.38,7.4,60.8,18.8,65.55,223,331,74.0,4374235.0,1956960.2,0.1,0.0
2026-07-01T22:23:05.167740400,13.7,79.0,16.3,3163.61,4.0,61.1,18.6,64.92,222,331,74.0,52117012.0,9584878.0,0.1,0.0
2026-07-01T22:23:06.185420,6.2,74.0,10.2,2681.5,4.1,60.8,18.6,65.24,223,331,74.0,70349048.0,2525157.2,0.1,0.0
2026-07-01T22:23:07.199951300,7.9,71.0,12.4,3264.01,3.7,60.7,18.5,65.18,224,330,74.0,934250.5,276666.5,0.1,0.0
2026-07-01T22:23:08.217346300,11.9,93.0,12.4,3002.91,3.7,60.7,18.5,65.32,227,330,74.0,143111.8,7721.9,0.1,0.0
2026-07-01T22:23:09.231162600,11.6,73.0,8.7,3264.02,7.1,60.5,18.5,65.41,226,330,74.0,913499.1,232381.3,0.1,0.0
2026-07-01T22:23:10.248316100,6.2,69.0,10.3,3213.81,4.6,60.5,18.5,65.44,226,330,74.0,223601.2,11158820.0,0.1,0.0
2026-07-01T22:23:11.264415100,16.5,71.0,18.5,3394.57,4.9,60.7,18.5,65.69,229,335,74.0,5877923.5,64752.5,0.0,0.0
2026-07-01T22:23:12.278594,6.4,71.0,9.9,3043.08,3.1,60.4,18.5,65.37,228,328,74.0,3735543.5,2123478.5,0.0,0.0
2026-07-01T22:23:13.291342100,11.2,72.0,12.8,2119.1,5.8,60.4,18.5,65.42,229,330,74.0,0.0,238986.9,0.0,0.0
2026-07-01T22:23:14.303275600,7.5,69.0,12.2,3394.57,4.1,60.3,18.5,65.47,229,328,74.0,291442.1,241856.5,0.0,0.0
2026-07-01T22:23:15.317442200,7.9,69.0,9.1,2862.29,4.2,60.3,18.5,65.62,229,328,74.0,48414.1,54465.8,0.0,0.0
2026-07-01T22:23:16.333122200,9.1,72.0,17.1,3876.64,10.7,60.4,18.5,65.64,228,328,74.0,0.0,129150.0,0.0,0.0
2026-07-01T22:23:17.349861100,15.1,72.0,22.4,3695.88,13.4,60.4,18.9,65.57,228,328,74.0,16221.8,265125.8,0.0,0.0
2026-07-01T22:23:18.364565500,7.9,78.0,9.6,2751.83,3.0,60.2,18.9,65.7,230,328,74.0,16710.4,245956.7,0.0,0.0
2026-07-01T22:23:19.382733600,4.6,68.0,9.0,2169.32,4.0,60.2,18.9,65.8,230,328,74.0,59294.3,9404576.0,0.0,0.0
2026-07-01T22:23:20.395670300,8.5,69.0,13.3,2109.06,2.0,60.2,17.8,65.75,230,328,74.0,59294.3,9404576.0,0.0,0.0
2026-07-01T22:23:21.412028200,5.9,67.0,7.7,2109.06,3.0,60.0,17.8,62.64,217,317,74.0,0.0,305952.8,0.0,0.0
2026-07-01T22:23:22.424415200,12.0,74.0,18.2,2882.39,1.1,60.0,17.8,62.59,217,317,74.0,1368753.2,83737.9,0.0,0.0
2026-07-01T22:23:23.438675,2.4,67.0,5.8,2109.06,2.7,59.8,17.8,60.82,217,317,74.0,0.0,234652.9,0.0,0.0
2026-07-01T22:23:24.450312400,3.7,66.0,5.8,2109.06,2.7,59.8,17.8,60.82,217,317,74.0,0.0,92522.8,0.0,0.0
