timestamp,cpuUsage,cpuTemperature,cpuPackagePower,cpuAverageClock,ramUsage,networkConnections,processCount,mode,targetLoad,stepNumber,eventType
2026-07-10 01:31:19.897759400+05:30,18.5,100,57.7,3126.23,95.44,285,307,UNASSIGNED,,,
2026-07-10 01:31:22.707984200+05:30,4.0,69,28.1,2533.43,95.45,288,307,UNASSIGNED,,,
2026-07-10 01:31:24.764429800+05:30,3.6,63,23.3,2165.27,95.29,288,307,UNASSIGNED,,,
2026-07-10 01:31:26.812161700+05:30,7.1,64,26.8,2383.67,95.3,288,306,UNASSIGNED,,,
2026-07-10 01:31:28.853044100+05:30,9.7,75,30.9,1890.72,95.38,288,305,UNASSIGNED,,,
2026-07-10 01:31:30.899550700+05:30,8.9,67,44.0,2171.51,95.63,285,305,UNASSIGNED,,,
2026-07-10 01:31:32.933778400+05:30,6.3,84,27.1,3144.94,95.77,287,307,UNASSIGNED,,,
2026-07-10 01:31:34.972284500+05:30,30.4,100,50.0,2377.43,96.64,297,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:37.007262800+05:30,7.6,70,29.2,2215.19,96.69,297,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:39.044934+05:30,10.9,79,32.6,2914.06,96.72,299,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:41.086294400+05:30,9.6,63,23.8,2115.36,96.61,298,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:43.120521+05:30,8.5,75,28.2,2945.26,96.96,298,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:45.156002600+05:30,6.3,80,21.9,2183.99,96.94,297,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:47.203451200+05:30,24.1,63,33.9,2084.15,96.96,297,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:49.235650900+05:30,7.2,63,25.5,2171.51,96.91,297,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:51.275139300+05:30,15.3,98,46.5,3257.26,96.12,298,309,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:53.308181200+05:30,17.8,68,31.8,2683.19,96.65,299,310,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:55.352807200+05:30,17.6,64,33.6,2963.98,97.04,299,311,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:57.419266600+05:30,8.0,71,27.3,2477.26,97.29,301,312,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:31:59.513825500+05:30,13.7,67,28.0,2146.54,97.28,303,312,INITIAL_IDLE,0.0,,SESSION
2026-07-10 01:32:01.559024300+05:30,6.9,61,20.3,2439.82,97.03,300,311,INITIAL_IDLE,0.0,,SESSION
