timestamp,cpuUsage,cpuTemperature,cpuPackagePower,cpuAverageClock,ramUsage,networkConnections,processCount,mode,targetLoad,stepNumber,eventType
2026-07-10 02:28:18.622142+05:30,41.6,89.1,36.5,2917,58.92,413,259,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:21.638363600+05:30,12.3,84.0,16.8,2881,58.95,390,260,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:23.685591300+05:30,4.3,80.8,7.2,2534,58.91,388,262,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:25.739384200+05:30,5.4,81.4,11.2,3012,58.92,361,260,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:27.777632400+05:30,3.8,77.1,6.0,1992,58.81,335,260,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:29.819053+05:30,2.8,79.1,6.8,2914,58.75,332,260,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:31.854773300+05:30,3.0,76.6,6.4,2635,59.29,309,268,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:33.897327+05:30,35.3,89.1,38.9,3866,60.47,311,267,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:35.928005200+05:30,22.1,90.5,25.4,3331,59.65,296,265,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:37.956729400+05:30,9.5,83.5,18.1,3217,58.87,299,262,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:39.987705900+05:30,19.7,84.9,27.6,3888,59.35,297,264,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:42.022343+05:30,55.2,89.8,40.7,4204,60.78,312,274,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:44.066081800+05:30,11.7,86.3,17.1,3777,60.31,314,274,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:46.106767600+05:30,7.0,80.5,11.9,3492,60.32,309,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:48.150017300+05:30,3.3,76.8,9.6,4118,60.09,309,271,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:50.187313+05:30,7.9,82.0,13.2,3023,60.17,306,271,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:52.229446800+05:30,7.6,77.5,11.6,3770,60.17,305,271,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:54.270000500+05:30,13.2,81.9,20.6,3400,60.35,305,273,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:56.304122800+05:30,7.0,78.9,13.5,3711,60.18,305,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:28:58.341402700+05:30,8.1,76.4,13.6,3515,60.17,301,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:00.376407700+05:30,6.4,74.8,12.3,3261,60.25,302,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:02.418023200+05:30,7.6,74.1,13.4,3294,60.26,302,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:04.442869900+05:30,10.5,80.3,16.4,3887,59.94,298,271,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:06.479005700+05:30,22.2,83.8,30.8,4065,60.07,297,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:08.513247+05:30,11.2,83.4,18.2,3554,60.04,296,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:10.549417600+05:30,7.4,78.0,14.1,3144,60.08,298,272,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:12.578264+05:30,10.5,80.4,17.9,3258,59.32,297,270,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:14.602090900+05:30,6.6,77.4,13.4,3328,59.32,298,270,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:16.625671900+05:30,2.7,72.9,7.4,3640,59.19,297,270,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:18.647732800+05:30,9.1,75.4,17.6,3257,59.19,290,268,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:20.674005300+05:30,5.6,76.9,12.8,3164,59.29,291,267,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:22.696605400+05:30,3.7,73.0,9.6,3191,59.21,291,267,INITIAL_IDLE,0.0,,SESSION
2026-07-10 02:29:24.719938+05:30,10.5,77.9,20.1,3238,59.16,291,267,INITIAL_IDLE,0.0,,SESSION
