timestamp,cpuUsage,cpuTemperature,cpuPackagePower,cpuAverageClock,ramUsage,networkConnections,processCount,mode,targetLoad,stepNumber,eventType
2026-07-11 00:00:55.772679400+05:30,79.6,92.3,38.8,3554,91.49,258,290,UNASSIGNED,,,
2026-07-11 00:00:58.884514400+05:30,21.6,91.9,31.4,2692,91.08,256,290,UNASSIGNED,,,
2026-07-11 00:01:00.941817800+05:30,23.3,92.9,33.0,2497,90.88,256,289,UNASSIGNED,,,
2026-07-11 00:01:03.007649900+05:30,12.5,85.3,18.4,2820,90.96,257,288,UNASSIGNED,,,
2026-07-11 00:01:05.043090300+05:30,11.6,76.3,17.0,2718,90.93,253,287,UNASSIGNED,,,
2026-07-11 00:01:07.115740500+05:30,8.8,71.3,15.0,3633,90.94,252,287,UNASSIGNED,,,
2026-07-11 00:01:09.188097600+05:30,22.7,75.1,24.9,2820,91.18,252,291,UNASSIGNED,,,
2026-07-11 00:01:11.262251800+05:30,25.4,82.3,26.1,3691,86.63,251,297,UNASSIGNED,,,
2026-07-11 00:01:13.337768700+05:30,23.7,80.4,26.6,3446,86.74,262,297,UNASSIGNED,,,
2026-07-11 00:01:15.412948800+05:30,20.6,79.9,27.8,4186,87.68,262,296,UNASSIGNED,,,
2026-07-11 00:01:17.452298500+05:30,17.4,91.1,26.8,2777,87.8,257,296,UNASSIGNED,,,
2026-07-11 00:01:19.483555300+05:30,21.7,85.8,20.9,2749,87.89,259,299,UNASSIGNED,,,
2026-07-11 00:01:21.537921800+05:30,29.4,91.4,34.3,3553,88.53,260,297,UNASSIGNED,,,
2026-07-11 00:01:23.575770200+05:30,54.5,94.4,44.2,3924,87.68,248,300,UNASSIGNED,,,
2026-07-11 00:01:25.608173900+05:30,36.2,95.1,38.3,4189,88.7,252,292,UNASSIGNED,,,
2026-07-11 00:01:27.657169900+05:30,59.1,98.9,48.3,3684,90.62,263,296,UNASSIGNED,,,
2026-07-11 00:01:29.766996400+05:30,26.6,93.0,35.1,3381,90.5,268,291,UNASSIGNED,,,
